bone,dataset,folder_split,split,case,path,unique_labels,is_binary,is_empty,foreground_voxels,total_voxels,foreground_fraction,foreground_volume_mm3,spacing_z,spacing_y,spacing_x,bbox_z,bbox_y,bbox_x,is_volume_outlier
LH,Dataset009_anatomy_LH,train_val,train,dataset8_001,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_001.nii.gz,0 1,1,0,458539,105119744,0.004362063514918758,223895.99943006033,0.800000011920929,0.78125,0.78125,170,136,153,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_002,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_002.nii.gz,0 1,1,0,363015,38413956,0.009450081111146168,197287.4884744806,0.800000011920929,0.82421875,0.82421875,167,102,146,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_003,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_003.nii.gz,0 1,1,0,314254,55595520,0.00565250581341806,181401.1746749878,1.0,0.759765625,0.759765625,134,132,170,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_004,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_004.nii.gz,0 1,1,0,210129,21961856,0.009567907193271826,149593.7900390625,1.0,0.84375,0.84375,137,88,139,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_005,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_005.nii.gz,0 1,1,0,194475,81788928,0.002377766829270583,156296.49152755737,1.0,0.896484375,0.896484375,123,93,129,0
LH,Dataset009_anatomy_LH,train_val,val,dataset8_006,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_006.nii.gz,0 1,1,0,230772,33635682,0.006860928224972516,152345.578125,1.0,0.8125,0.8125,142,105,154,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_009,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_009.nii.gz,0 1,1,0,429559,30807525,0.013943314174053255,226860.8671579403,0.8000000715255737,0.8125,0.8125,175,117,143,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_010,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_010.nii.gz,0 1,1,0,273185,91750400,0.002977480207170759,195325.43993848356,0.7989501953125,0.9459999799728394,0.9459999799728394,182,115,126,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_011,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_011.nii.gz,0 1,1,0,241509,82051072,0.00294339847260009,183803.03234967391,0.7989501953125,0.9760000109672546,0.9760000109672546,163,97,126,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_013,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_013.nii.gz,0 1,1,0,342477,98304000,0.003483856201171875,167225.10014809814,0.800000011920929,0.78125,0.78125,166,104,159,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_014,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_014.nii.gz,0 1,1,0,305867,44903236,0.006811691700794126,190438.79803466797,1.0,0.7890625,0.7890625,137,109,151,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_015,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_015.nii.gz,0 1,1,0,285757,34995740,0.008165479569799067,190462.51704406738,1.0,0.81640625,0.81640625,132,118,153,0
LH,Dataset009_anatomy_LH,train_val,val,dataset8_017,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_017.nii.gz,0 1,1,0,249872,73400320,0.00340423583984375,152509.765625,1.0,0.78125,0.78125,132,111,144,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_018,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_018.nii.gz,0 1,1,0,482893,98304000,0.004912241617838542,235787.601169759,0.800000011920929,0.78125,0.78125,193,131,155,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_019,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_019.nii.gz,0 1,1,0,477856,91750400,0.005208217075892857,183073.58682534072,0.800048828125,0.6919999718666077,0.6919999718666077,197,135,182,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_020,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_020.nii.gz,0 1,1,0,379150,91750400,0.004132407052176339,185244.05515921666,0.7989501953125,0.7820000052452087,0.7820000052452087,169,99,165,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_021,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_021.nii.gz,0 1,1,0,410407,91750400,0.004473081316266741,200515.51350581204,0.7989501953125,0.7820000052452087,0.7820000052452087,185,118,161,0
LH,Dataset009_anatomy_LH,train_val,val,dataset8_022,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_022.nii.gz,0 1,1,0,243779,89391104,0.0027271058202838617,175160.359664917,1.0,0.84765625,0.84765625,158,100,126,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_023,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_023.nii.gz,0 1,1,0,377829,50579750,0.007469965747161661,182646.5631342435,0.800000011920929,0.77734375,0.77734375,189,118,134,0
LH,Dataset009_anatomy_LH,train_val,val,dataset8_024,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_024.nii.gz,0 1,1,0,423618,91750400,0.004617069789341518,206441.11718263465,0.7989501953125,0.781000018119812,0.781000018119812,170,132,150,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_025,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_025.nii.gz,0 1,1,0,273072,42606745,0.006409126066776516,165007.38940429688,1.0,0.77734375,0.77734375,132,101,153,0
LH,Dataset009_anatomy_LH,train_val,train,dataset8_026,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_026.nii.gz,0 1,1,0,281346,73138176,0.0038467735372563843,186626.33740997314,1.0,0.814453125,0.814453125,136,120,156,0
LH,Dataset009_anatomy_LH,train_val,val,dataset8_027,nnUNet/nnUNet_raw/Dataset009_anatomy_LH/labelsTr/dataset8_027.nii.gz,0 1,1,0,271763,82051072,0.0033121200415273063,150135.11241720463,0.7999998927116394,0.8309999704360962,0.8309999704360962,169,101,146,0
