case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,original_hd95,original_assd,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,filtered_hd95,filtered_assd,dice_change,iou_change,hd95_change,assd_change,removed_voxels,largest_component_voxels
dataset8_007,5.0,0.946783925296503,0.8989455706541918,24334,2884,266456,185.7602802014282,16.253679356564362,0.991228770451703,0.9826100719541246,1401,2884,243523,0.8359375,0.0976308201990766,0.044444845155199975,0.08366450129993286,-184.9243427014282,-16.156048536365287,22933,243523
dataset8_008,5.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.7421875,0.14368344124122268,0.9863905708875433,0.9731466012024503,5254,4197,347751,0.7421875,0.14275407618194916,4.829127937666655e-05,9.400192180530897e-05,0.0,-0.0009293650592735181,34,347637
dataset8_012,5.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,181.41172223362554,12.99416858665127,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.87890625,0.10284490293511067,0.03847518503355152,0.07277495487231955,-180.53281598362554,-12.891323683716159,21437,265792
dataset8_016,5.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,26.187127085650307,1.6528830106553136,0.9120374558027198,0.8382985799163138,62697,2458,400476,26.187127085650307,1.6528830106553136,0.0,0.0,0.0,0.0,0,400476
dataset8_028,5.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,1.3008750904589428,0.3319090327971119,0.9784693399654398,0.9578462774013425,8919,4413,311858,1.3008750904589428,0.24278979044440407,0.0004390956346376207,0.0008412007781340991,0.0,-0.08911924235270785,278,311858
dataset8_033,5.0,0.9731942295212899,0.9477880408361692,18728,8122,506128,1.7867597420990533,1.5281856188286271,0.9777012753305688,0.9563753252716976,14052,8178,501396,1.7883224196156113,0.3153418932953311,0.0045070458092789645,0.008587284435528364,0.0015626775165580309,-1.212843725533296,4732,501396
dataset8_036,5.0,0.9883059862008918,0.9768823109762312,3221,4945,348291,0.78125,0.1316754355103077,0.9884390414372712,0.9771423393422476,3127,4945,348197,0.78125,0.11514351351643756,0.00013305523637940908,0.0002600283660163516,0.0,-0.01653192199387013,94,348197
dataset8_039,5.0,0.9687271307996292,0.9393509319708582,3913,6984,172689,1.4588980250230401,1.4325656872724284,0.9724528541055676,0.9463827114804473,2578,6984,171354,1.220001220703125,0.25103393557644643,0.0037257233059383443,0.007031779509589109,-0.2388968043199151,-1.181531751695982,1335,171354
dataset8_040,5.0,0.9203422429513998,0.8524388742107384,46117,6606,350690,132.1938054560145,10.469450467873822,0.9789613925240704,0.9587897904704342,6485,6606,311058,0.801025390625,0.1753249319489006,0.05861914957267067,0.10635091625969584,-131.3927800653895,-10.294125535924922,39632,311048
dataset8_045,5.0,0.9691659986708596,0.9401765923720337,12019,5983,294936,2.0,1.2828559475725843,0.9792090653597486,0.9592650484350577,6031,5983,288948,1.3185315281118613,0.2592796249672585,0.01004306668888899,0.019088456063024006,-0.6814684718881387,-1.0235763226053258,5988,288941
dataset8_046,5.0,0.9871163214494415,0.9745603985464647,5101,4203,361526,0.78125,0.3116342409832358,0.9885934195472038,0.977444124502948,4022,4203,360447,0.78125,0.12195892823582961,0.0014770980977623083,0.0028837259564833406,0.0,-0.18967531274740618,1079,360398
dataset8_088,5.0,0.9858766336448767,0.9721466503510627,4435,4943,331749,0.8000030517578125,0.3546832008513518,0.9865586009732543,0.9734737518328064,3976,4943,331290,0.8000030517578125,0.1416997526624842,0.0006819673283776639,0.0013271014817436422,0.0,-0.2129834481888676,459,331290
dataset8_090,5.0,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.801025390625,0.08653412340936581,0.9906562892699339,0.9814855719994378,2679,1931,247064,0.801025390625,0.08653412340936581,0.0,0.0,0.0,0.0,0,247064
dataset8_091,5.0,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.6953125,0.07837030736194679,0.9904933281290315,0.9811657076949291,2926,2822,302366,0.6953125,0.07837030736194679,0.0,0.0,0.0,0.0,0,302366
dataset8_092,5.0,0.9892413551299469,0.9787117430562542,1487,4650,283631,0.880859375,0.6057914970959387,0.9900293172810547,0.9802555007000733,1033,4650,283177,0.880859375,0.11530146449283704,0.0007879621511077683,0.001543757643819088,0.0,-0.49049003260310164,454,283171
