case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,dice_change,iou_change,removed_voxels,largest_component_voxels
dataset8_007,5.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_007,10.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_007,15.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_007,20.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_007,30.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_007,40.0,0.946783925296503,0.8989455706541918,24334,2884,266456,0.991228770451703,0.9826100719541246,1401,2884,243523,0.044444845155199975,0.08366450129993286,22933,243523
dataset8_008,5.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863905708875433,0.9731466012024503,5254,4197,347751,4.829127937666655e-05,9.400192180530897e-05,34,347637
dataset8_008,10.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863422796081667,0.973052599280645,5288,4197,347785,0.0,0.0,0,347637
dataset8_008,15.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863422796081667,0.973052599280645,5288,4197,347785,0.0,0.0,0,347637
dataset8_008,20.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863422796081667,0.973052599280645,5288,4197,347785,0.0,0.0,0,347637
dataset8_008,30.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863422796081667,0.973052599280645,5288,4197,347785,0.0,0.0,0,347637
dataset8_008,40.0,0.9863422796081667,0.973052599280645,5288,4197,347785,0.9863422796081667,0.973052599280645,5288,4197,347785,0.0,0.0,0,347637
dataset8_012,5.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_012,10.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_012,15.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_012,20.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_012,30.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_012,40.0,0.9522953795319752,0.9089349812226379,24385,1949,287229,0.9907705645655267,0.9817099360949575,2948,1949,265792,0.03847518503355152,0.07277495487231955,21437,265792
dataset8_016,5.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_016,10.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_016,15.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_016,20.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_016,30.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_016,40.0,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.9120374558027198,0.8382985799163138,62697,2458,400476,0.0,0.0,0,400476
dataset8_028,5.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784693399654398,0.9578462774013425,8919,4413,311858,0.0004390956346376207,0.0008412007781340991,278,311858
dataset8_028,10.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784693399654398,0.9578462774013425,8919,4413,311858,0.0004390956346376207,0.0008412007781340991,278,311858
dataset8_028,15.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784693399654398,0.9578462774013425,8919,4413,311858,0.0004390956346376207,0.0008412007781340991,278,311858
dataset8_028,20.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784693399654398,0.9578462774013425,8919,4413,311858,0.0004390956346376207,0.0008412007781340991,278,311858
dataset8_028,30.0,0.9780302443308022,0.9570050766232084,9197,4413,312136,0.9784693399654398,0.9578462774013425,8919,4413,311858,0.0004390956346376207,0.0008412007781340991,278,311858
