case,distance_mm,original_dice,original_iou,original_false_positive_voxels,original_false_negative_voxels,original_prediction_voxels,original_hd95,original_assd,filtered_dice,filtered_iou,filtered_false_positive_voxels,filtered_false_negative_voxels,filtered_prediction_voxels,filtered_hd95,filtered_assd,dice_change,iou_change,hd95_change,assd_change,removed_voxels,largest_component_voxels
dataset8_007,40.0,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.8359375,0.0845535341301635,0.9934687181794067,0.9870221980408207,2769,2574,409129,0.8359375,0.0845535341301635,0.0,0.0,0.0,0.0,0,409126
dataset8_008,40.0,0.9849884922077,0.9704210096593865,13882,4087,603405,0.7421875,0.15668899058034164,0.9849901379517182,0.9704242045136545,13880,4087,603403,0.7421875,0.15516294224274485,1.645744018174966e-06,3.1948542680293457e-06,0.0,-0.001526048337596786,2,603269
dataset8_012,40.0,0.9881371264929184,0.976552408794355,2948,5602,359041,0.87890625,0.13599400096461528,0.9881371264929184,0.976552408794355,2948,5602,359041,0.87890625,0.13599400096461528,0.0,0.0,0.0,0.0,0,336613
dataset8_016,40.0,0.9887834090652218,0.9778156508994587,10103,3096,591873,0.78125,0.21834325136901572,0.9888229035295557,0.9778929002457465,10056,3096,591826,0.78125,0.1575524740769978,3.949446433393344e-05,7.72493462878332e-05,0.0,-0.06079077729201793,47,591391
dataset8_028,40.0,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.83203125,0.15617785973829165,0.9878163177590952,0.9759259461406631,8132,2895,455150,0.83203125,0.15617785973829165,0.0,0.0,0.0,0.0,0,454989
dataset8_033,40.0,0.9904404625109262,0.9810619638880342,12653,766,707808,0.798828125,0.13686554982947796,0.9904404625109262,0.9810619638880342,12653,766,707808,0.798828125,0.13686554982947796,0.0,0.0,0.0,0.0,0,707808
dataset8_036,40.0,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.78125,0.16694471670488814,0.9869980518374211,0.9743298654337982,9996,4046,542971,0.78125,0.16694471670488814,0.0,0.0,0.0,0.0,0,542971
dataset8_039,40.0,0.9802126859896974,0.9611932532628019,3221,6624,247069,1.220001220703125,0.4267078784654991,0.9802126859896974,0.9611932532628019,3221,6624,247069,1.220001220703125,0.4267078784654991,0.0,0.0,0.0,0.0,0,247063
dataset8_040,40.0,0.992477868517062,0.9850680570721232,4531,1609,409590,0.7819976806640625,0.07915979772078544,0.992477868517062,0.9850680570721232,4531,1609,409590,0.7819976806640625,0.07915979772078544,0.0,0.0,0.0,0.0,0,409590
dataset8_045,40.0,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.859375,0.23988841165250277,0.9825961100067012,0.9657876480236116,12271,4792,493946,0.859375,0.23988841165250277,0.0,0.0,0.0,0.0,0,493940
dataset8_046,40.0,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.78125,0.0681175737551197,0.9938597571116021,0.9877944592082498,3956,1730,464124,0.78125,0.0681175737551197,0.0,0.0,0.0,0.0,0,464124
dataset8_088,40.0,0.9921237165144267,0.9843705351249371,8437,916,597505,0.8000030517578125,0.10576363629231536,0.9921237165144267,0.9843705351249371,8437,916,597505,0.8000030517578125,0.10576363629231536,0.0,0.0,0.0,0.0,0,597505
dataset8_090,40.0,0.9932909549344792,0.98667133249988,3458,1265,353084,0.801025390625,0.07022255907575907,0.9932909549344792,0.98667133249988,3458,1265,353084,0.801025390625,0.07022255907575907,0.0,0.0,0.0,0.0,0,353084
dataset8_091,40.0,0.991856583516917,0.9838447261571346,4873,1899,417283,0.6953125,0.08473503578978474,0.991856583516917,0.9838447261571346,4873,1899,417283,0.6953125,0.08473503578978474,0.0,0.0,0.0,0.0,0,417283
dataset8_092,40.0,0.9923393631043221,0.9847952046250846,1443,5700,464086,0.880859375,0.13400587352698456,0.9924159951606519,0.9849461587263739,1371,5700,464014,0.880859375,0.09639058686561842,7.663205632979508e-05,0.0001509541012892912,0.0,-0.03761528666136614,72,463959
